game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,der-riese,high-round,,xbox,http://twitch.tv/videos/2426333018,,co-op,91,2,Hidees,joenis00,,,0,
bo,kino-der-toten,high-round,,xbox,http://twitch.tv/videos/2446047215,,solo,72,1,joenis00,,,,0,
bo,verruckt,high-round,,plutonium,https://youtube.com/watch?v=2D2HS2h9TfU,,co-op,68,4,Salisky,Scorpioeyes,NuclearOrange7,joenis00,0,
bo,verruckt,high-round,,xbox,http://twitch.tv/videos/2505081182,,co-op,50,3,AfraidGymnast47,Blixtss,joenis00,,0,
bo,verruckt,high-round,,xbox,https://youtube.com/watch?v=cZr29Rqwxfs,,co-op,46,4,Salisky,Blixtss,joenis00,Izuna6900,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/2572526270,,co-op,115,2,OriginalLidCocaCola,joenis00,,,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/2463888890,,solo,71,1,joenis00,,,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2458343168,,co-op,71,2,Hidees,joenis00,,,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/2413114682,,co-op,63,2,juarezMMAacadmy,joenis00,,,0,
bo,verruckt,flawless,,xbox,https://youtube.com/watch?v=3SC5Zq-a-bQ,,co-op,58,2,Sourink743,joenis00,,,0,
bo,der-riese,flawless,,xbox,https://youtube.com/watch?v=oWSDmHb5WPg,,co-op,57,3,Matt TRU,joenis00,REVELATION_115,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2420231364,,co-op,56,2,Matt TRU,joenis00,,,0,
bo3,gorod-krovi,flawless,mega-gobblegum,xbox,http://twitch.tv/videos/2402243633,,solo,52,1,joenis00,,,,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/2508574045,,co-op,51,3,Blixtss,joenis00,Hidees,,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2424789201,,co-op,45,4,Matt TRU,joenis00,MITC4ELL,Br0z,0,
bo,der-riese,flawless,,xbox,http://twitch.tv/videos/2378841072,,co-op,45,2,poncho58501,joenis00,,,0,
bo,ascension,flawless,,xbox,http://twitch.tv/videos/2441425497,,co-op,44,2,joenis00,Blixtss,,,0,
bo,five,flawless,,xbox,http://twitch.tv/videos/2579170219,,co-op,41,3,Izuna6900,joenis00,Sourink743,,0,
bo,verruckt,flawless,,xbox,http://twitch.tv/videos/2577725621,,co-op,41,3,Sourink743,Izuna6900,joenis00,,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/2404068324,,co-op,41,4,JareBare562,joenis00,Player 4,BlackAdidasz,0,
bo,kino-der-toten,flawless,,xbox,http://twitch.tv/videos/2395153993,,co-op,39,3,joenis00,Matt TRU,REVELATION_115,,0,
bo,call-of-the-dead,flawless,,xbox,http://twitch.tv/videos/2581611797,,co-op,37,4,Salisky,NuclearOrange7,Izuna6900,joenis00,0,
bo,verruckt,flawless,,xbox,http://twitch.tv/videos/2428048318,,co-op,32,2,poncho58501,joenis00,,,0,
bo,nacht-der-untoten,flawless,,xbox,http://twitch.tv/videos/2410446491,,co-op,28,2,poncho58501,joenis00,,,0,
bo,nacht-der-untoten,flawless,,xbox,http://twitch.tv/videos/2408424873,,co-op,25,3,poncho58501,joenis00,JareBare562,,0,
bo,call-of-the-dead,first-room,,plutonium,https://youtube.com/watch?v=zJ5Y2OYNKpA,,co-op,28,4,Salisky,D4TR,NuclearOrange7,joenis00,0,
bo,der-riese,no-perks,,plutonium,https://youtube.com/watch?v=acXOngyIqfw,,co-op,109,2,joenis00,NuclearOrange7,,,0,
bo,shi-no-numa,no-perks,,xbox,http://twitch.tv/videos/2610773610,,co-op,70,2,Izuna6900,joenis00,,,0,
bo,call-of-the-dead,no-perks,,xbox,https://youtube.com/watch?v=Ml9UzFfoXUQ,,co-op,58,2,Izuna6900,joenis00,,,0,
bo,shangri-la,no-perks,,xbox,http://twitch.tv/videos/2651467679,,co-op,53,3,joenis00,Izuna6900,Player 3,,0,
bo,der-riese,no-jug,,plutonium,https://youtube.com/watch?v=acXOngyIqfw,,co-op,109,2,joenis00,NuclearOrange7,,,0,
bo,shi-no-numa,no-jug,,xbox,http://twitch.tv/videos/2610773610,,co-op,70,2,Izuna6900,joenis00,,,0,
bo,call-of-the-dead,no-jug,,xbox,https://youtube.com/watch?v=Ml9UzFfoXUQ,,co-op,58,2,Izuna6900,joenis00,,,0,
bo,kino-der-toten,no-jug,,xbox,https://youtube.com/watch?v=IRTVKl3PMqQ,,co-op,56,3,joenis00,OriginalLidCocaCola,Izuna6900,,0,
bo,shangri-la,no-jug,,xbox,http://twitch.tv/videos/2651467679,,co-op,53,3,joenis00,Izuna6900,Player 3,,0,
bo,shi-no-numa,no-jug,,xbox,http://twitch.tv/videos/2614580827,,co-op,42,3,Izuna6900,joenis00,JareBare562,,0,
bo,shangri-la,no-jug,,xbox,http://twitch.tv/videos/2450665871,,co-op,37,3,Hidees,Izuna6900,joenis00,,0,
