game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,shi-no-numa,high-round,,xbox,https://youtube.com/watch?v=VLJS1rqIA7w,,co-op,51,2,RelaxingEnd,ChristianR87,,,0,
bo2,die-rise,high-round,,xbox,https://youtube.com/watch?v=TisOtswOOxo,,co-op,34,4,RelaxingEnd,ThatGuyWhoCamps,ChristianR87,Nuppi69,0,
bo2,nuketown,high-round,,xbox,https://youtube.com/watch?v=OhDzEQ_BOEU,,co-op,33,4,RelaxingEnd,ThatGuyWhoCamps,MatoMaster21,ChristianR87,0,
bo3,zetsubou-no-shima,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=OsS4Z6RLqRA,,co-op,42,2,RelaxingEnd,ChristianR87,,,0,
bo2,origins,first-room,,xbox,https://youtube.com/watch?v=xXB7-qY1pjc,,co-op,31,4,RelaxingEnd,ChristianR87,TheSleepyVictim,Azeerk,0,
bo,moon,first-room,,xbox,https://youtube.com/watch?v=AMAPQEWn6RI,,co-op,26,3,Nuppie69,RelaxingEnd,ChristianR87,,0,
bo,ascension,no-power,,xbox,https://youtube.com/watch?v=EJ6PkGNazMk,,co-op,50,2,RelaxingEnd,ChristianR87,,,0,
bo,kino-der-toten,no-power,,xbox,https://youtube.com/watch?v=WXtGMBPIUDY,,co-op,40,2,RelaxingEnd,ChristianR87,,,0,
bo,verruckt,no-power,,xbox,https://youtube.com/watch?v=gx9UgvaHNg4,,co-op,30,2,RelaxingEnd,ChristianR87,,,0,
bo,five,no-power,,xbox,https://youtube.com/watch?v=ejbyWPjnfsA,,co-op,30,2,RelaxingEnd,ChristianR87,,,0,
mw3,decommission,high-round-survival,no-traps,xbox,https://youtube.com/watch?v=wI3fEnyOdbU,,co-op,81,2,RelaxingEnd,ChristianR87,,,0,
ghosts,nightfall,points-chaos-extinction,,xbox,https://youtube.com/watch?v=vEsRNyI2WZE,,co-op,8737050,4,RelaxingEnd,ChristianR87,AndyInput,Gravitizm,0,
ghosts,nightfall,points-chaos-extinction,,xbox,https://youtube.com/watch?v=s5Ga3EjFBzQ,,co-op,4142385,4,RelaxingEnd,MatoMaster21,ChristianR87,The Rouxlive,0,
