game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,mob-of-the-dead,high-round,,steam,https://youtube.com/watch?v=MLtwXob2WJw,,solo,240,1,QeZiaa,,,,0,
bo3,ascension,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/2126342150,,co-op,188,2,DrAzZzeR,QeZiaa,,,0,
bo2,mob-of-the-dead,high-round,,steam,https://youtube.com/watch?v=EQTGIttAB6Y,,co-op,159,2,AsTroX,QeZiaa,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/1839593380,,co-op,105,3,AsTroX,Nessquik,QeZiaa,,0,
bo2,mob-of-the-dead,high-round,,steam,http://twitch.tv/videos/1268245978,,co-op,96,3,QeZiaa,Nessquik,AsTroX,,0,
bo,der-riese,high-round,,steam,http://twitch.tv/videos/1288079637,,co-op,62,4,QeZiaa,notwayq,Blasters,BDZ Ekzx,0,
bo2,town,first-room,classic,xbox,https://youtube.com/watch?v=6uRH90QStAM,,co-op,64,2,QeZiaa,Deltanews,,,0,
bo2,origins,first-room,,steam,http://twitch.tv/videos/1149255835,,co-op,42,4,AsTroX,Blasters,QeZiaa,notwayq,0,
bo3,gorod-krovi,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=w4BAx9Bj0lg,,solo,32,1,QeZiaa,,,,0,
bo3,gorod-krovi,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=5Qj68irm0Z0,,co-op,31,2,QeZiaa,turok_tkt,,,0,
iw,spaceland,first-room,fate-cards-only,playstation,http://twitch.tv/videos/103844339,,solo,26,1,QeZiaa,,,,0,
iw,spaceland,first-room,fate-fortune-cards,playstation,http://twitch.tv/videos/103241295,,solo,25,1,QeZiaa,,,,0,
iw,spaceland,first-room,fate-cards-only,playstation,http://twitch.tv/videos/104771504,,co-op,21,2,turok_tkt,QeZiaa,,,0,
bo3,shadows-of-evil,first-room,,playstation,http://twitch.tv/videos/72098289,,co-op,15,4,The_Ludotor,QeZiaa,Ratchet_LaMiff,SL7-SzR,0,
bo2,mob-of-the-dead,no-power,,steam,https://youtube.com/watch?v=EQTGIttAB6Y,,co-op,159,2,AsTroX,QeZiaa,,,0,
bo2,origins,no-power,,steam,https://youtube.com/watch?v=PU6_T0g_SbU,,co-op,129,2,AsTroX,QeZiaa,,,0,
bo2,mob-of-the-dead,no-power,,steam,https://youtube.com/watch?v=0ly4LdpvT4o,,co-op,106,2,DrAzZzeR,QeZiaa,,,0,
bo2,buried,no-power,,steam,http://twitch.tv/videos/1839593380,,co-op,105,3,AsTroX,Nessquik,QeZiaa,,0,
bo2,mob-of-the-dead,no-power,,steam,https://youtube.com/watch?v=zfT5LFZetKg,,co-op,96,3,AsTroX,Nessquik,QeZiaa,,0,
bo3,shadows-of-evil,no-power,no-gobblegum,playstation,http://twitch.tv/videos/651320337,,co-op,68,2,DrAzZzeR,QeZiaa,,,0,
bo2,origins,no-power,,playstation,https://youtube.com/watch?v=VFdUhyy4BXU,,co-op,56,2,WhiPer_Toxic,QeZiaa,,,0,
bo3,verruckt,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=xODsHxJnHIM,,co-op,35,3,SxKma,Deltanews,QeZiaa,,0,
bo3,verruckt,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=xODsHxJnHIM,,co-op,35,3,SxKma,Deltanews,QeZiaa,,0,
iw,spaceland,no-power,fate-cards-only,playstation,http://twitch.tv/videos/104771504,,co-op,21,2,turok_tkt,QeZiaa,,,0,
bo2,mob-of-the-dead,no-perks,,steam,http://twitch.tv/videos/1456155521,,co-op,159,2,AsTroX,QeZiaa,,,0,
bo2,origins,no-perks,,steam,http://twitch.tv/videos/1126046614,,co-op,91,2,AsTroX,QeZiaa,,,0,
bo2,mob-of-the-dead,bo2-no-jug,,steam,http://twitch.tv/videos/1456155521,,co-op,159,2,AsTroX,QeZiaa,,,0,
bo2,origins,bo2-no-jug,,steam,https://youtube.com/watch?v=PU6_T0g_SbU,,co-op,129,2,AsTroX,QeZiaa,,,0,
bo3,kino-der-toten,no-jug,classic-gobblegum-only,steam,http://twitch.tv/videos/924794614,,co-op,78,2,Diegothegameur,QeZiaa,,,0,
bo3,kino-der-toten,50-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/924794614,,co-op,1:28:00,2,Diegothegameur,QeZiaa,,,0,
bo2,farm,50-speedrun,,steam,http://twitch.tv/videos/1427200871,,co-op,2:31:37,2,QeZiaa,Blasters,,,0,
bo3,nacht-der-untoten,50-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/2139788964,,co-op,2:48:29,2,DrAzZzeR,QeZiaa,,,0,
bo2,nuketown,50-speedrun,,steam,http://twitch.tv/videos/1118540724,,co-op,6:35:49,3,AsTroX,QeZiaa,Nessquik,,0,
bo2,mob-of-the-dead,70-speedrun,,steam,http://twitch.tv/videos/2155003435,,co-op,4:11:21,2,AsTroX,QeZiaa,,,0,
community,der-riese,com-remix-hr,,steam,http://twitch.tv/videos/2004634764,,co-op,96,2,QeZiaa,FreeStyle65,,,0,
