game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=A9uUw4I4v9I,,co-op,131,2,Monster115,BDZ Nozfury,,,0,
bo3,gorod-krovi,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/642503344,,co-op,78,2,Monster115,Deflagra04,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/609976929,,co-op,57,4,Its_Gr33nZ,The-Sheitan-56,Monster115,lucasdx_06,0,
bo3,shi-no-numa,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/622681027,,co-op,44,2,Its_Gr33nZ,Monster115,,,0,
bo3,shi-no-numa,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/604639271,,co-op,37,3,Its_Gr33nZ,Monster115,The-Sheitan-56,,0,
bo3,shadows-of-evil,no-aat,mega-gobblegum,playstation,http://twitch.tv/videos/609786131,,solo,91,1,Monster115,,,,0,
bo3,kino-der-toten,no-aat,mega-gobblegum,playstation,http://twitch.tv/videos/637084017,,solo,80,1,Monster115,,,,0,
bo3,kino-der-toten,no-aat,mega-gobblegum,playstation,https://youtube.com/watch?v=d_oh0hMCFCg,,co-op,76,2,Monster115,Laser_Genos,,,0,
bo3,the-giant,no-aat,mega-gobblegum,playstation,http://twitch.tv/videos/607809851,,solo,68,1,Monster115,,,,0,
bo3,moon,no-aat,mega-gobblegum,playstation,https://youtube.com/watch?v=6rgo9V-IFkU,,co-op,67,2,Monster115,fanfafrancy_04,,,0,
bo3,moon,no-aat,mega-gobblegum,playstation,http://twitch.tv/videos/599228930,,solo,35,1,Monster115,,,,0,
bo3,kino-der-toten,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/591347082,,co-op,80,2,Monster115,The-Sheitan-56,,,0,
bo3,zetsubou-no-shima,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=vfv--NUUuM0,,co-op,50,2,Monster115,LTK_Marsou_67,,,0,
bo3,zetsubou-no-shima,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=FTsf6YDyMAg,,co-op,47,3,phoenix55000,Monster115,LTK_Marsou_67,,0,
bo3,zetsubou-no-shima,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=7qYY3kVQAgI,,solo,44,1,Monster115,,,,0,
bo3,zetsubou-no-shima,first-room,no-gobblegum,playstation,http://twitch.tv/videos/372283806,,co-op,39,3,aZpBastos,Monster115,zN_EnTiX,,0,
bo3,verruckt,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/609789859,,solo,58,1,Monster115,,,,0,
bo3,zetsubou-no-shima,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=vfv--NUUuM0,,co-op,50,2,Monster115,LTK_Marsou_67,,,0,
bo3,zetsubou-no-shima,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=XL3IYuPSiq8,,co-op,47,3,Monster115,LTK_Marsou_67,phoenix55000,,0,
bo3,shangri-la,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/1467830809,,co-op,44,3,Monster115,LTK_Marsou_67,Sartinio,,0,
bo3,zetsubou-no-shima,no-power,no-gobblegum,playstation,http://twitch.tv/videos/603255573,,co-op,34,2,Its_Gr33nZ,Monster115,,,0,
bo3,verruckt,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=5YOkEm_NhzQ,,co-op,33,2,Monster115,Sartinio,,,0,
bo3,kino-der-toten,no-perks,mega-gobblegum,playstation,http://twitch.tv/videos/572664129,,solo,62,1,Monster115,,,,0,
bo3,verruckt,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=yvTtw0xiWlU,,co-op,35,2,Monster115,Rachton,,,0,
bo3,verruckt,no-perks,mega-gobblegum,playstation,http://twitch.tv/videos/607437260,,solo,30,1,Monster115,,,,0,
bo3,moon,no-perks,classic-gobblegum-only,playstation,http://twitch.tv/videos/575853501,,solo,25,1,Monster115,,,,0,
bo3,nacht-der-untoten,no-perks,classic-gobblegum-only,playstation,https://youtube.com/watch?v=9yJH6gCZZk0,,co-op,24,2,Monster115,Eyran_2002,,,0,
bo3,nacht-der-untoten,no-jug,classic-gobblegum-only,playstation,https://youtube.com/watch?v=9yJH6gCZZk0,,co-op,24,2,Monster115,Eyran_2002,,,0,
